web,Source,Species,Interactions,Latitude,Longitude,Locality of Study,Reference
M_PL_026,WoL,159,204,-0.5,-90.5,Galapagos,"McMullen, C. K. 1993. Flower-visiting insects of the Galapagos Islands. Pan-Pacific Entomologist 69:95-106"
M_PL_022,WoL,66,83,-34.166667,-69.7,"Laguna Diamante, Mendoza, Argentina","Medan, D., N. H. Montaldo, M. Devoto, A. Mantese, V. Vasellati, and N. H. Bartoloni. 2002. Plant-pollinator relationships at two altitudes in the Andes of Mendoza, Argentina. Arctic Antarctic and Alpine Research 34:233-241."
M_PL_023,WoL,95,125,-33,-69.283333,"Rio Blanco, Mendoza, Argentina","Medan, D., N. H. Montaldo, M. Devoto, A. Mantese, V. Vasellati, and N. H. Bartoloni. 2002. Plant-pollinator relationships at two altitudes in the Andes of Mendoza, Argentina. Arctic Antarctic and Alpine Research 34:233-241."
M_PL_017,WoL,104,299,51.574994,-2.589902,"Bristol, England",Memmott J. 1999. The structure of a plant-pollinator food web. Ecology Letters 2:276-280.
M_PL_037,WoL,50,72,56.248737,9.973652,"Hestehaven, Denmark","Montero AC (2005).The Ecology of Three Pollination Networks. MSc thesis (Univ of Aarhus, Aarhus, Denmark)."
M_PL_038,WoL,50,79,56.238737,9.993652,"Hestehaven, Denmark","Montero AC (2005).The Ecology of Three Pollination Networks. MSc thesis (Univ of Aarhus, Aarhus, Denmark)."
M_PL_043,WoL,110,250,56.238737,9.953652,"Hestehaven, Denmark","Montero AC (2005).The Ecology of Three Pollination Networks. MSc thesis (Univ of Aarhus, Aarhus, Denmark)."
M_PL_024,WoL,29,38,75,-114.966667,"Melville Island, Canada","Mosquin, T., and J. E. H. Martin. 1967. Observations on the pollination biology of plants on Melville Island, N.W.T., Canada. Canadian Field Naturalist 81:201-205."
M_PL_025,WoL,57,143,36.075391,-79.001843,"North Carolina, USA","Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42."
M_PL_012,WoL,84,145,28.127842,-17.248908,"Garajonay, Gomera, Spain",Olesen unpubl.
M_PL_018,WoL,144,383,56.238737,9.973652,"Hestehaven, Denmark",Olesen unpubl.
M_PL_036,WoL,22,30,39.466667,-31.227222,"Flores, Açores",Olesen unpubl.
M_PL_011,WoL,27,52,-20.348404,57.552152,Mauritius Island,"Olesen, J.M., Eskildsen, L.I. & Venkatasamy, S. (2002). Div. Distr., 8:181-192."
M_PL_013,WoL,65,103,-29.616667,30.133333,"KwaZulu-Natal region, South Africa","Ollerton, J., S. D. Johnson, L. Cranmer, and S. Kellie. 2003. The pollination ecology of an assemblage of grassland asclepiads in South Africa. Annals of Botany 92:807-834."
M_PL_035,WoL,97,178,17.916667,-76.191667,"Morant Point, Jamaica","Percival, M. (1974). Floral Ecology of Coastal Scrub in Southeast Jamaica. Biotropica, 6, 104-129."
M_PL_015,WoL,797,2933,38.014466,23.635043,"Daphní, Athens, Greece","Petanidou, T. (1991). Pollination ecology in a phryganic ecosystem. Unp. PhD. Thesis, Aristotelian University, Thessaloniki."
M_PL_042,WoL,18,25,-0.949194,-90.977222,"Puerto Villamil, Isabela Island, Galapagos","Philipp M, Böcher J, Siegismund HR, Nielsen LR (2006) Ecography 29:531-540. (Philipp, M., Böcher, J., Siegismund, H. R. and Nielsen, L. R. 2006. Structure of a plant-pollinator network on a pahoehoe lava desert of the Galápagos Islands. – Ecography 29: 531– 40.)"
