web,connectance,web.asymmetry,links.per.species,nestedness,n.aff,n.hosts,host.sharing,aff.sharing,modularity,z.est,zstar,zstarLO,zstarHI
M_PL_061_26,0.307692307692308,0.3,1.4,32.3204855052096,13,7,0.730769230769231,1.19047619047619,0.267857134342194,0.545631100938262,NA,NA,NA
M_PL_061_27,0.269230769230769,0.368421052631579,1.10526315789474,29.2055996049944,13,6,0.512820512820513,0.6,0.418367326259613,0.708425439632743,NA,NA,NA
M_PL_061_28,0.236842105263158,0.407407407407407,1.33333333333333,20.6919569780565,19,8,0.666666666666667,1.39285714285714,0.422453731298447,0.637235392595752,NA,NA,NA
M_PL_061_29,0.270833333333333,0.384615384615385,1.5,25.5066076828467,18,8,0.660130718954248,1.78571428571429,0.320512801408768,0.587388703152733,NA,NA,NA
M_PL_061_30,0.32967032967033,0.3,1.5,23.7872568990273,13,7,0.794871794871795,1.85714285714286,0.355555534362793,0.564683444101635,NA,NA,NA
M_PL_061_31,0.368421052631579,0.583333333333333,1.45833333333333,34.8351427563704,19,5,0.678362573099415,3.1,0.258367359638214,0.625964110565831,NA,NA,NA
M_PL_061_32,0.259259259259259,0.5,1.16666666666667,32.3817321896686,18,6,0.470588235294118,1.26666666666667,0.472576528787613,0.729539714637654,NA,NA,NA
M_PL_061_35,0.162393162393162,0.181818181818182,0.863636363636364,26.0008353325955,13,9,0.256410256410256,0.333333333333333,0.576177299022675,0.79017704461515,NA,NA,NA
M_PL_061_36,0.260504201680672,0.416666666666667,1.29166666666667,31.2006961935465,17,7,0.5,1.33333333333333,0.382414162158966,0.645526605567504,NA,NA,NA
M_PL_061_37,0.205741626794258,0.266666666666667,1.43333333333333,24.5328235621486,19,11,0.485380116959064,1.21818181818182,0.439426720142365,0.593196836394469,NA,NA,NA
M_PL_061_38,0.21304347826087,0.393939393939394,1.48484848484848,31.1857425466131,23,10,0.537549407114625,1.28888888888889,0.345272779464722,0.599846196341439,NA,NA,NA
M_PL_061_39,0.285714285714286,0.533333333333333,1.53333333333333,41.2261225187008,23,7,0.604743083003953,2.33333333333333,0.289697527885437,0.620259705090359,NA,NA,NA
M_PL_061_40,0.247863247863248,0.485714285714286,1.65714285714286,24.3936082261909,26,9,0.633846153846154,2.27777777777778,0.323573142290115,0.595835753698751,NA,NA,NA
M_PL_061_42,0.242424242424242,0.294117647058824,0.941176470588235,31.3210154248017,11,6,0.4,0.533333333333333,0.482421875,0.758552736357656,NA,NA,NA
M_PL_061_43,0.180555555555556,0.28,1.04,26.9172002406552,16,9,0.275,0.611111111111111,0.564349114894867,0.766154793400895,NA,NA,NA
M_PL_061_44,0.209090909090909,0.0476190476190476,1.0952380952381,15.6078977648422,11,10,0.472727272727273,0.933333333333333,0.40642723441124,0.666600966787153,NA,NA,NA
M_PL_061_45,0.197628458498024,0.352941176470588,1.47058823529412,22.2798955770744,23,11,0.462450592885375,1.23636363636364,0.456399977207184,0.622874443430903,NA,NA,NA
M_PL_061_46,0.164835164835165,0.235294117647059,1.32352941176471,25.5942306028255,21,13,0.323809523809524,0.884615384615385,0.451851844787598,0.653953204545253,NA,NA,NA
M_PL_061_47,0.243589743589744,0.485714285714286,1.62857142857143,28.8002205653035,26,9,0.695384615384615,1.94444444444444,0.251615881919861,0.588212640835282,NA,NA,NA
M_PL_061_48,0.253968253968254,0.217391304347826,1.39130434782609,40.403966933708,14,9,0.494505494505495,1.27777777777778,0.3876953125,0.579985829370503,NA,NA,NA
M_PL_063,0.314814814814815,-0.6875,2.65625,17.6717979073791,10,54,5.22222222222222,2.23340321453529,0.0493944808840752,0.235524890066076,0.240961223014301,0.197250928245939,0.284671517782662
M_PL_064,0.285714285714286,-0.272727272727273,1.45454545454545,19.5236715670084,8,14,1.03571428571429,1.01098901098901,0.31591796875,0.410108735058287,0.445659148114355,0.383918962334446,0.507399333894264
M_PL_065,0.419047619047619,-0.615384615384615,1.69230769230769,24.7911281933805,5,21,3.5,1.06666666666667,0.174070239067078,0.187030088688865,0.185098307990665,0.0632823120188529,0.306914303962477
